area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,3339,3,0,278
Built-up  Area,Ready To Move,Begur,3 BHK,Arhtsth,1475,2,2,102
Super built-up  Area,18-Aug,Indra Nagar,3 BHK,,1550,3,2,286
Super built-up  Area,18-Apr,Peenya,2 BHK,,966,2,1,77
Plot  Area,Ready To Move,t.c palya,6 Bedroom,,1350,6,3,188
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,103
Plot  Area,Ready To Move,Bagalur Main Road,5 Bedroom,,4400,4,1,378
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3,2,148
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2,1,91
Plot  Area,Ready To Move,Rajaji Nagar,3 Bedroom,,2790,3,0,978
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,81.58
Plot  Area,Ready To Move,Varthur Road,4 Bedroom,,1300,3,0,103
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,86
Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,,900,4,1,103
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1104,2,1,63.5
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,900,2,2,73
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,Shestth,1550,2,2,107
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,670,1,1,63
Super built-up  Area,19-Dec,Jakkur,2 BHK,Ceezey ,1483,2,1,126
Super built-up  Area,Ready To Move,Basapura,3 BHK,Saavenc,1540,2,2,98
Plot  Area,Ready To Move,Naganathapura,8 Bedroom,,1200,7,3,128
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2,1,82.5
Plot  Area,Ready To Move,OMBR Layout,3 Bedroom,,600,3,2,128
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,,1036,2,2,138
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2,2,103
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,Wiaysld,1230,2,1,86
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1340,2,2,88
Built-up  Area,Ready To Move,Yelenahalli,3 BHK,,1600,3,3,89.37
Built-up  Area,18-Apr,Hegde Nagar,3 BHK,SoisoCa,2162,3,1,228
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2,2,68
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,,1070,2,2,66.9
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,UmrldDr,1733,2,3,113
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3,3,100
Super built-up  Area,Ready To Move,kanakapura main road,2 BHK,,1041,2,1,64.44
Built-up  Area,Ready To Move,Ambalipura,4 BHK,SJodsed,2550,4,2,177
Built-up  Area,Ready To Move,Shampura,3 BHK,,1400,3,1,98
Plot  Area,Ready To Move,Anjanapura,1 Bedroom,,600,2,0,83
Built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,710,2,2,68
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2,1,106.25
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,265
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,3,203
Plot  Area,Ready To Move,Brookefield,5 Bedroom,,2400,5,2,353
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,123
